35,-85,20,35,-81,23,19, Temporal Lobe, Middle Temporal Gyrus
0,-75,10,0,-72,13,18, Occipital Lobe, Cuneus
5,-60,30,5,-57,30,7, Parietal Lobe, Precuneus
50,-60,20,50,-57,21,39, Temporal Lobe, Superior Temporal Gyrus
45,-60,15,45,-57,17,22, Temporal Lobe, Superior Temporal Gyrus
0,-95,5,0,-92,9,18, Occipital Lobe, Cuneus
50,-60,25,50,-57,26,39, Temporal Lobe, Superior Temporal Gyrus
-5,-85,5,-5,-82,9,17, Occipital Lobe, Cuneus
-15,-95,-5,-15,-92,0,17, Occipital Lobe, Lingual Gyrus
30,-95,15,30,-91,18,19, Occipital Lobe, Middle Occipital Gyrus
-25,-95,20,-25,-91,23,19, Occipital Lobe, Cuneus
55,-65,25,54,-62,26,39, Temporal Lobe, Middle Temporal Gyrus
15,-80,35,15,-76,36,7, Parietal Lobe, Precuneus
-5,-55,20,-5,-52,21,31, Limbic Lobe, Posterior Cingulate
55,-65,-10,54,-63,-5,19, Occipital Lobe, Middle Occipital Gyrus
-20,-45,50,-20,-41,48,5, Frontal Lobe, Paracentral Lobule
30,-90,15,30,-87,18,19, Occipital Lobe, Middle Occipital Gyrus
-5,-70,10,-5,-67,13,30, Limbic Lobe, Posterior Cingulate
0,-55,15,0,-53,16,23, Limbic Lobe, Posterior Cingulate
-20,-100,10,-20,-96,14,19, Occipital Lobe, Middle Occipital Gyrus
25,-95,10,25,-92,14,18, Occipital Lobe, Middle Occipital Gyrus
50,-70,-15,50,-68,-9,19, Occipital Lobe, Middle Occipital Gyrus
-25,-95,15,-25,-91,18,18, Occipital Lobe, Middle Occipital Gyrus
5,-80,35,5,-76,36,19, Occipital Lobe, Cuneus
-20,-100,5,-20,-97,9,18, Occipital Lobe, Middle Occipital Gyrus
45,-60,-5,45,-58,-1,37, Temporal Lobe, Middle Temporal Gyrus
30,-85,15,30,-82,18,19, Occipital Lobe, Middle Occipital Gyrus
5,-85,10,5,-82,13,17, Occipital Lobe, Cuneus
50,-70,-5,50,-68,-1,37, Occipital Lobe, Inferior Temporal Gyrus
-5,-65,25,-5,-62,26,31, Occipital Lobe, Precuneus
-10,-95,-5,-10,-92,0,17, Occipital Lobe, Lingual Gyrus
-5,-100,0,-5,-97,5,18, Occipital Lobe, Cuneus
45,-80,25,45,-76,27,19, Occipital Lobe, Superior Occipital Gyrus
50,-65,15,50,-62,17,19, Occipital Lobe, Middle Temporal Gyrus
0,-45,30,0,-42,30,31, Limbic Lobe, Cingulate Gyrus
50,-75,25,50,-72,27,39, Temporal Lobe, Middle Temporal Gyrus
25,-70,10,25,-67,13,30, Limbic Lobe, Posterior Cingulate
20,-60,10,20,-58,12,30, Limbic Lobe, Posterior Cingulate
25,-75,40,25,-71,40,7, Parietal Lobe, Precuneus
55,-65,-5,54,-63,-1,19, Temporal Lobe, Inferior Temporal Gyrus
-10,-60,20,-10,-57,21,31, Parietal Lobe, Precuneus
5,-50,15,5,-48,16,30, Limbic Lobe, Posterior Cingulate
35,-50,40,35,-47,39,40, Parietal Lobe, Inferior Parietal Lobule
45,-60,30,45,-57,30,39, Temporal Lobe, Superior Temporal Gyrus
10,-50,35,10,-47,35,31, Parietal Lobe, Precuneus
50,-65,-15,50,-64,-9,37, Occipital Lobe, Middle Occipital Gyrus
-20,-100,0,-20,-97,5,18, Occipital Lobe, Middle Occipital Gyrus
10,-85,40,10,-81,41,19, Parietal Lobe, Precuneus
10,-45,35,10,-42,34,31, Limbic Lobe, Cingulate Gyrus
20,-65,10,20,-63,12,30, Limbic Lobe, Posterior Cingulate
50,-70,15,50,-67,17,39, Temporal Lobe, Middle Temporal Gyrus
20,-90,10,20,-87,14,18, Occipital Lobe, Middle Occipital Gyrus
-10,-70,10,-10,-67,13,30, Limbic Lobe, Posterior Cingulate
45,-70,-5,45,-68,-1,37, Occipital Lobe, Inferior Temporal Gyrus
-5,-95,0,-5,-92,5,17, Occipital Lobe, Cuneus
5,-40,25,5,-38,25,23, Limbic Lobe, Posterior Cingulate
15,-100,10,15,-96,14,18, Occipital Lobe, Middle Occipital Gyrus
